Full name (Model),Location,Bar code/RFID (Asset),Serial # (Asset),Quantity,System Host name,Record origination
/HARDWARE STORAGE/DIRECT ATTACHED STORAGE (DAS)/NETAPP FAS3070-R5/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT08/,6008920,1076951,1,NADRPFAS1A,Physical inventory
/HARDWARE STORAGE/RACK ENCLOSURE/NETAPP DISK SHELF DS14MK2/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT08/,,,3,,Physical inventory
/HARDWARE STORAGE/RACK ENCLOSURE/NETAPP DISK SHELF DS14MK2/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT08/,,,3,,Physical inventory
/HARDWARE STORAGE/RACK ENCLOSURE/NETAPP DISK SHELF DS14MK4/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT08/,,,5,,Physical inventory
/HARDWARE STORAGE/RACK ENCLOSURE/NETAPP DISK SHELF DS14MK4/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT08/,,,5,,Manual
/HARDWARE COMPUTERS/SERVERS/IBM BLADE CENTER PS700 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6008894,1DF4E6A,1,,Manual
/HARDWARE COMPUTERS/SERVERS/IBM SYSTEM X3650M4 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6008594,KD0D54N,1,,Clarity
/HARDWARE COMPUTERS/SERVERS/SUN MICROSYSTEMS NETRAT4 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6008636,1146BDYCE0,1,MIGRAT_881,Clarity
/HARDWARE COMPUTERS/SERVERS/SUN MICROSYSTEMS NETRAT4 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6008637,1233BDY624,1,MIGRAT_880,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/SUN MICROSYSTEMS NETRAT4 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6008779,1151BDY0F9,1,MIGRAT_879,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/SUN MICROSYSTEMS T4 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6008916,AK00159489,1,AK00159489,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 3560 48 PORT SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6008899,FOC0948Y1S4,1,,Physical Inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/BLADE ENCLOSURES/HPE PROLIANT BL C7000 C-CLASS ENCLOSURE/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6008607,2SB14041A2,1,,Physical Inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/BLADE ENCLOSURES/IBM BLADECENTER H ENCLOSURE/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6008718,99A2250,1,,Physical Inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT09/,6065526,2UJ046003C,1,,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008598,CN704909SP,1,4734238,Manual
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008620,CN704909SQ,1,4734230,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008627,CN704400WN,1,4734231,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008665,CN704400WF,1,SGDRESX02,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008694,USE146KSXX,1,4734229,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008709,CN7044009D,1,4734235,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008725,CN70510HFL,1,4734234,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008905,CN70450MNM,1,SGDRESX01,Purchase order
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008924,CN704400WR,1,SGDRESX03,Physical Inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL460C G7 SERVER BLADE_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008949,CN7044009N,1,SGDRESX04,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL870CI2 SERVER BLADE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008768,SGH127X1E8,1,,Manual
/HARDWARE COMPUTERS/SERVERS/HEWLETT-PACKARD COMPANY PROLIANT BL870CI2 SERVER BLADE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008884,SGH127X1B3,1,,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HPE INTEGRITY BL860C I2 SERVER BLADE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008595,USE123AYFY,1,,Purchase order
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 2960 SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6065527,FOC1009X096,1,,Physical Inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 2960 SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6065528,FOC1241U13Y,1,,Physical inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/BLADE ENCLOSURES/HPE PROLIANT BL C7000 C-CLASS ENCLOSURE/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008692,3UI1138M87,1,,Physical inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/BLADE ENCLOSURES/HPE PROLIANT BL C7000 C-CLASS ENCLOSURE/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008907,USE902JT3D,1,,Physical inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/BLADE ENCLOSURES/HPE PROLIANT BL C7000 C-CLASS ENCLOSURE/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6008941,SGH824XJJN,1,,Physical inventory
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT10/,6065529,2UJ012000Y,1,,PMI
/HARDWARE STORAGE/NETWORK ATTACHED STORAGE (NAS)/EMC VNX5300/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT15/,6065530,FCNVS122601056,1,,PMI
/HARDWARE STORAGE/STORAGE AREA NETWORKS (SAN)/EMC VNX5700/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT16/,6065531,FCNVA133000003,1,,Physical inventory
/HARDWARE STORAGE/TAPE SYSTEMS/IBM SYSTEM STORAGE TS7650G/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT17/,6065532,7826404,1,,Physical inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R200 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC02/,6008700,1NHNVH1,1,3406525,Physical inventory
/HARDWARE COMPUTERS/SERVERS/DELL POWEREDGE R200 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC02/,6008867,1NFPVH1,1,3406526,Physical inventory
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/INFOBLOX 550-A/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC02/,6065455,1107201010000284,1,6065455,Physical inventory
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/INFOBLOX 550-A/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC02/,6065456,1107201003000023,1,6065456,Physical inventory
/HARDWARE NETWORK EQUIPMENT/FIREWALLS AND SECURITY APPLIANCES/INFOBLOX 550-A/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/CC02/,6065457,1116201002000038,1,6065457,Physical inventory
